,open,high,low,close,volume
2023-09-08 22:00:00+00:00,1.06974,1.06974,1.06974,1.06974,0.0
2023-09-08 23:00:00+00:00,1.06974,1.06974,1.06974,1.06974,0.0
2023-09-11 00:00:00+00:00,1.07165,1.0721,1.07099,1.07133,8719.11
2023-09-11 01:00:00+00:00,1.07132,1.07208,1.07102,1.07194,9823.46
2023-09-11 02:00:00+00:00,1.07194,1.0728,1.07188,1.07239,6761.73
2023-09-11 03:00:00+00:00,1.07239,1.07251,1.07193,1.07225,5842.67
2023-09-11 04:00:00+00:00,1.07226,1.07376,1.07216,1.07353,7708.15
2023-09-11 05:00:00+00:00,1.07353,1.07412,1.07285,1.07287,13512.4
2023-09-11 06:00:00+00:00,1.07286,1.07354,1.07241,1.07331,11881.66
2023-09-11 07:00:00+00:00,1.07331,1.07374,1.0725,1.07258,13516.5
2023-09-11 08:00:00+00:00,1.07258,1.07332,1.07222,1.07285,11916.44
2023-09-11 09:00:00+00:00,1.07285,1.07343,1.07234,1.07325,9675.32
2023-09-11 10:00:00+00:00,1.07324,1.07338,1.07264,1.0732,10552.43
2023-09-11 11:00:00+00:00,1.0732,1.07322,1.07183,1.07197,10248.17
2023-09-11 12:00:00+00:00,1.07197,1.07277,1.07154,1.07275,16771.99
2023-09-11 13:00:00+00:00,1.07274,1.07369,1.07222,1.07357,21618.58
2023-09-11 14:00:00+00:00,1.07358,1.07593,1.07347,1.07457,22125.18
2023-09-11 15:00:00+00:00,1.07456,1.07497,1.0741,1.07425,9911.42
2023-09-11 16:00:00+00:00,1.07426,1.07578,1.07426,1.07509,7487.09
2023-09-11 17:00:00+00:00,1.07511,1.07523,1.07441,1.07458,5991.35
2023-09-11 18:00:00+00:00,1.07457,1.07513,1.07443,1.07451,4435.24
2023-09-11 19:00:00+00:00,1.07454,1.07503,1.07445,1.07489,5115.0
2023-09-11 20:00:00+00:00,1.07489,1.07507,1.07478,1.07497,2862.2
2023-09-11 21:00:00+00:00,1.07497,1.07533,1.07414,1.07493,2303.82
2023-09-11 22:00:00+00:00,1.07495,1.07523,1.07495,1.07497,938.68
2023-09-11 23:00:00+00:00,1.07497,1.07507,1.07475,1.07476,2282.64
2023-09-12 00:00:00+00:00,1.07476,1.07478,1.07422,1.07439,5752.01
2023-09-12 01:00:00+00:00,1.07439,1.07692,1.07375,1.0741,11221.59
2023-09-12 02:00:00+00:00,1.0741,1.07512,1.0739,1.07509,7204.69
2023-09-12 03:00:00+00:00,1.0751,1.07512,1.07444,1.07463,7391.12
2023-09-12 04:00:00+00:00,1.07462,1.07464,1.07386,1.0739,7345.26
2023-09-12 05:00:00+00:00,1.0739,1.07407,1.07357,1.07362,9366.7
2023-09-12 06:00:00+00:00,1.07362,1.07408,1.07303,1.07324,11053.03
2023-09-12 07:00:00+00:00,1.07324,1.07347,1.07121,1.07135,17105.3
2023-09-12 08:00:00+00:00,1.07135,1.07234,1.07122,1.07144,13163.41
2023-09-12 09:00:00+00:00,1.07143,1.07259,1.07132,1.07224,14239.68
2023-09-12 10:00:00+00:00,1.07223,1.07243,1.07121,1.07161,10014.81
2023-09-12 11:00:00+00:00,1.07161,1.07185,1.07085,1.07181,11050.79
2023-09-12 12:00:00+00:00,1.07181,1.07208,1.07057,1.07073,19688.34
2023-09-12 13:00:00+00:00,1.07072,1.07188,1.07055,1.07173,18065.57
2023-09-12 14:00:00+00:00,1.07174,1.0718,1.07104,1.07138,11055.07
2023-09-12 15:00:00+00:00,1.07138,1.073,1.07137,1.07253,9941.53
2023-09-12 16:00:00+00:00,1.07256,1.07375,1.07215,1.07232,9057.49
2023-09-12 17:00:00+00:00,1.07233,1.0734,1.07233,1.07259,6196.32
2023-09-12 18:00:00+00:00,1.07258,1.07343,1.07245,1.07321,6048.54
2023-09-12 19:00:00+00:00,1.07322,1.07337,1.07275,1.07281,6598.08
2023-09-12 20:00:00+00:00,1.07281,1.07648,1.07276,1.07534,4905.75
2023-09-12 21:00:00+00:00,1.07529,1.07629,1.07486,1.0759,1821.42
2023-09-12 22:00:00+00:00,1.0759,1.07604,1.07545,1.07558,2087.52
2023-09-12 23:00:00+00:00,1.07558,1.07578,1.07525,1.07531,4003.72
2023-09-13 00:00:00+00:00,1.0753,1.07641,1.07529,1.07593,5540.12
2023-09-13 01:00:00+00:00,1.07592,1.07648,1.07556,1.07576,8972.67
2023-09-13 02:00:00+00:00,1.07576,1.07598,1.07451,1.07465,9691.9
2023-09-13 03:00:00+00:00,1.07466,1.07501,1.07446,1.07471,4794.87
2023-09-13 04:00:00+00:00,1.07472,1.07536,1.0746,1.07522,4766.3
2023-09-13 05:00:00+00:00,1.07522,1.07545,1.07419,1.07443,8280.84
2023-09-13 06:00:00+00:00,1.07442,1.07471,1.07348,1.07383,17415.59
2023-09-13 07:00:00+00:00,1.07383,1.07488,1.0731,1.07437,15901.56
2023-09-13 08:00:00+00:00,1.07436,1.07447,1.07316,1.0735,16056.53
2023-09-13 09:00:00+00:00,1.07351,1.07397,1.07288,1.07298,12855.03
2023-09-13 10:00:00+00:00,1.07298,1.07381,1.07285,1.07377,8132.63
2023-09-13 11:00:00+00:00,1.07377,1.07409,1.07302,1.07366,9030.13
2023-09-13 12:00:00+00:00,1.07364,1.07614,1.0711,1.07478,49388.11
2023-09-13 13:00:00+00:00,1.07478,1.07558,1.07292,1.07386,46596.25
2023-09-13 14:00:00+00:00,1.07387,1.07427,1.07271,1.07379,28088.26
2023-09-13 15:00:00+00:00,1.07381,1.07449,1.07312,1.07356,12119.34
2023-09-13 16:00:00+00:00,1.07357,1.07464,1.07346,1.07406,12371.05
2023-09-13 17:00:00+00:00,1.07407,1.07491,1.07372,1.07446,9981.09
2023-09-13 18:00:00+00:00,1.07446,1.07461,1.0732,1.0732,6796.82
2023-09-13 19:00:00+00:00,1.07321,1.07324,1.07278,1.07318,6433.9
2023-09-13 20:00:00+00:00,1.07318,1.0732,1.0729,1.07291,1661.59
2023-09-13 21:00:00+00:00,1.07287,1.07306,1.07281,1.07299,3061.1
2023-09-13 22:00:00+00:00,1.07299,1.0734,1.0729,1.07328,2389.41
2023-09-13 23:00:00+00:00,1.07329,1.07346,1.07303,1.07327,2936.76
2023-09-14 00:00:00+00:00,1.07327,1.07423,1.07301,1.074,6719.77
2023-09-14 01:00:00+00:00,1.07401,1.07432,1.07353,1.07371,10701.3
2023-09-14 02:00:00+00:00,1.07371,1.07404,1.07316,1.07404,5908.26
2023-09-14 03:00:00+00:00,1.07407,1.07464,1.07407,1.07445,7304.97
2023-09-14 04:00:00+00:00,1.07446,1.07488,1.07441,1.07469,5244.23
2023-09-14 05:00:00+00:00,1.07471,1.07521,1.07463,1.07477,7024.7
2023-09-14 06:00:00+00:00,1.07478,1.07487,1.07406,1.07427,9120.99
2023-09-14 07:00:00+00:00,1.07428,1.07432,1.0733,1.07336,12160.54
2023-09-14 08:00:00+00:00,1.07336,1.074,1.07321,1.07338,11510.25
2023-09-14 09:00:00+00:00,1.07335,1.07371,1.07245,1.07285,8600.1
2023-09-14 10:00:00+00:00,1.07283,1.07372,1.07273,1.0735,10627.49
2023-09-14 11:00:00+00:00,1.0735,1.07374,1.07288,1.07303,9919.11
2023-09-14 12:00:00+00:00,1.07302,1.07476,1.06553,1.06767,57122.01
2023-09-14 13:00:00+00:00,1.06767,1.06972,1.06606,1.06642,56858.56
2023-09-14 14:00:00+00:00,1.06643,1.06738,1.06539,1.06639,30476.11
2023-09-14 15:00:00+00:00,1.06639,1.06755,1.06563,1.06587,17198.63
2023-09-14 16:00:00+00:00,1.06588,1.0663,1.0645,1.06485,16779.29
2023-09-14 17:00:00+00:00,1.06484,1.06506,1.06318,1.06366,10052.3
2023-09-14 18:00:00+00:00,1.06366,1.06403,1.06333,1.06346,7150.94
2023-09-14 19:00:00+00:00,1.06348,1.06442,1.06342,1.06426,9565.68
2023-09-14 20:00:00+00:00,1.06425,1.06468,1.06416,1.06425,4911.99
2023-09-14 21:00:00+00:00,1.06421,1.06437,1.06395,1.0642,493.52
2023-09-14 22:00:00+00:00,1.06421,1.06436,1.06391,1.06423,1835.21
2023-09-14 23:00:00+00:00,1.06421,1.06423,1.06349,1.0635,2392.25
2023-09-15 00:00:00+00:00,1.06349,1.06436,1.06342,1.06423,7087.47
2023-09-15 01:00:00+00:00,1.06421,1.06435,1.06332,1.06394,8803.19
2023-09-15 02:00:00+00:00,1.06394,1.06483,1.06394,1.0643,9093.87
2023-09-15 03:00:00+00:00,1.06433,1.06478,1.06416,1.06474,5498.2
2023-09-15 04:00:00+00:00,1.06476,1.06535,1.06443,1.06533,5317.73
2023-09-15 05:00:00+00:00,1.06533,1.06563,1.06487,1.06561,7792.86
2023-09-15 06:00:00+00:00,1.06563,1.06674,1.06518,1.06606,13306.1
2023-09-15 07:00:00+00:00,1.06607,1.06654,1.06498,1.06635,17954.57
2023-09-15 08:00:00+00:00,1.06635,1.06688,1.06616,1.06655,10548.0
2023-09-15 09:00:00+00:00,1.06655,1.06692,1.06607,1.06628,8364.55
2023-09-15 10:00:00+00:00,1.06631,1.06683,1.06542,1.0656,6638.74
